entry	name	body
1000dc9e	FUN_1000dc9e	[[1000dc9e, 1000dcb5]]
1000dcc0	__alloca_probe	[[1000dcc0, 1000dcea]]
1000dceb	__CRT_INIT@12	[[1000dceb, 1000dec3]]
1000dec4	___DllMainCRTStartup	[[1000dec4, 1000df96] [1000dfab, 1000dfb9]]
1000dfba	entry	[[1000dfba, 1000dfda]]
1000dfdb	_LocaleUpdate	[[1000dfdb, 1000e05c]]
1000e05d	__wcsicmp_l	[[1000e05d, 1000e16b]]
1000e16c	__wcsicmp	[[1000e16c, 1000e1fc]]
1000e1fd	__isleadbyte_l	[[1000e1fd, 1000e232]]
1000e233	_isleadbyte	[[1000e233, 1000e240]]
1000e241	_iswalpha	[[1000e241, 1000e251]]
1000e252	__vswprintf_helper	[[1000e252, 1000e347]]
1000e348	__vsnwprintf_s_l	[[1000e348, 1000e44e]]
1000e44f	__vsnwprintf_s	[[1000e44f, 1000e46c]]
1000e46d	FUN_1000e46d	[[1000e46d, 1000e5cb]]
1000e5cc	_fwrite	[[1000e5cc, 1000e643]]
1000e644	FUN_1000e644	[[1000e644, 1000e64d]]
1000e64e	_wcscat_s	[[1000e64e, 1000e6c7]]
1000e6c8	FUN_1000e6c8	[[1000e6c8, 1000e8da]]
1000e8db	__wmakepath_s	[[1000e8db, 1000e9f5]]
1000e9f6	_atol	[[1000e9f6, 1000ea06]]
1000ea07	wcstoxl	[[1000ea07, 1000ebfd]]
1000ebfe	_wcstol	[[1000ebfe, 1000ec26]]
1000ec27	_wcstoul	[[1000ec27, 1000ec50]]
1000ec51	FUN_1000ec51	[[1000ec51, 1000ec6a] [1000ec71, 1000ecd7]]
1000ecd8	__VEC_memcpy	[[1000ecd8, 1000edba]]
1000edcf	__mtinitlocks	[[1000edcf, 1000ee17]]
1000ee18	__mtdeletelocks	[[1000ee18, 1000ee6c]]
1000ee6d	FUN_1000ee6d	[[1000ee6d, 1000ee81]]
1000ee82	__mtinitlocknum	[[1000ee82, 1000ef3b]]
1000ef3c	FUN_1000ef3c	[[1000ef3c, 1000ef44]]
1000ef45	__lock	[[1000ef45, 1000ef75]]
1000ef76	___sbh_heap_init	[[1000ef76, 1000efbd]]
1000efbe	thunk_FUN_1000efe2	[[1000efbe, 1000efcf]]
1000efe2	FUN_1000efe2	[[1000efd0, 1000efe8]]
1000efe9	___sbh_free_block	[[1000efe9, 1000f2fc]]
1000f2fd	___sbh_alloc_new_region	[[1000f2fd, 1000f3ac]]
1000f3ad	___sbh_alloc_new_group	[[1000f3ad, 1000f4b2]]
1000f4b3	___sbh_resize_block	[[1000f4b3, 1000f791]]
1000f792	___sbh_alloc_block	[[1000f792, 1000fa74]]
1000fa78	__SEH_prolog4	[[1000fa78, 1000fabc]]
